cas_number,name_ja,name_en,regulation_type,regulation_class,regulation_label,special_management,special_organic,carcinogen,health_check_required,health_check_type,health_check_interval,health_check_ref,control_concentration,control_concentration_unit,threshold_pct,record_retention_years,work_env_measurement_required
91-94-1,ジクロロベンジジン及びその塩,Dichlorobenzidine,tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-3,,,1%を超える含有製剤,30,False
612-83-9,ジクロロベンジジン及びその塩,Dichlorobenzidine,tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-3,,,1%を超える含有製剤,30,False
134-32-7,α-ナフチルアミン及びその塩,"α-Naphthylamine, 1-Naphthylamine",tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-4,,,1%を超える含有製剤,30,False
552-46-5,α-ナフチルアミン及びその塩,α-Naphthylamine hydrochloride salt,tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-4,,,1%を超える含有製剤,30,False
―,塩素化ビフェニル,"Polychlorinated biphenyl, PCB",tokka,1,特化則第1類,False,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.01,mg/m³,1%を超える含有製剤,5,True
119-93-7,o-トリジン及びその塩,o-Tolidine,tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-5,,,1%を超える含有製剤,30,False
612-82-8,ジアニシジン及びその塩,"o-Tolidine Dihydrochloride, 4,4'-Diamino-3,3'-dimethylbiphenyl Hydrochloride, 3,3'-Dimethylbenzidine Dihydrochloride",tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-6,,,1%を超える含有製剤,30,False
119-90-4,ジアニシジン及びその塩,"Dianisidine,
4,4'-diamino-3,3'-dimethoxybiphenyl,
3,3'-Dimethoxybenzidine,
o-dianisidine",tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-6,,,1%を超える含有製剤,30,False
20325-40-0,ジアニシジン及びその塩,"3,3'-dimethoxybenzidine dihydrochloride, 
o-dianisidine dihydrochloride",tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-6,,,1%を超える含有製剤,30,False
7440-41-7,ベリリウム及びその化合物,Beryllium | Glucinium,tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-7,0.001,mg/m³,1%を超える含有製剤、または3%を超える合金,30,True
7787-56-6,ベリリウム及びその化合物,Beryllium sulfate tetrahydrate,tokka,1,特化則第1類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-7,0.001,mg/m³,1%を超える含有製剤、または3%を超える合金,30,True
98-07-7,ベンゾトリクロリド,Benzotrichloride,tokka,1,特化則第1類,True,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-8,0.05,ppm,0.5%を超える含有製剤,30,True
79-06-1,アクリルアミド,Acrylamide,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.1,mg/m³,1%を超える含有製剤,5,True
107-13-1,アクリロニトリル,Acrylonitrile,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,2.0,ppm,1%を超える含有製剤,5,True
627-44-1,アルキル水銀化合物（アルキル基がメチル基又はエチル基である物に限る。）,Diethyl mercury,tokka,2,特化則第2類,False,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.01,mg/m³,1%を超える含有製剤,5,True
593-74-8,アルキル水銀化合物（アルキル基がメチル基又はエチル基である物に限る。）,Dimethyl mercury,tokka,2,特化則第2類,False,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.01,mg/m³,1%を超える含有製剤,5,True
50926-11-9,インジウム化合物,Indium tin oxide,tokka,2,特化則第2類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-9 | 特化則別表5-1,,,1%を超える含有製剤,30,False
10025-82-8,インジウム化合物,Trichloroindium amhydrous | Trichloroindium | Indium trichloride |Indium chloride,tokka,2,特化則第2類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-9 | 特化則別表5-1,,,1%を超える含有製剤,30,False
100-41-4,エチルベンゼン,Ethylbenzene,tokka,2,特化則第2類,True,True,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-9の2 | 特化則別表5-1の2,20.0,ppm,1%を超える含有製剤,30,True
151-56-4,エチレンイミン,Ethyleneimine,tokka,2,特化則第2類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-9の3 | 特化則別表5-1の3,0.05,ppm,1%を超える含有製剤,30,True
75-21-8,エチレンオキシド,Ethylene oxide,tokka,2,特化則第2類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,則45（一般定期健康診断として義務）,1.0,ppm,1%を超える含有製剤,30,True
75-01-4,塩化ビニル,Vinyl chloride Chloroethylene,tokka,2,特化則第2類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-10 | 特化則別表5-2,2.0,ppm,1%を超える含有製剤,30,True
7782-50-5,塩素,Chlorine,tokka,2,特化則第2類,False,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.5,ppm,1%を超える含有製剤,5,True
492-80-8,オーラミン,Auramine,tokka,2,特化則第2類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-11 | 特化則別表5-3,,,1%を超える含有製剤,30,False
95-53-4,o-トルイジン,o-Toluidine,tokka,2,特化則第2類,True,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,令22-2-11の2 | 特化則別表5-3の2,1.0,ppm,1%を超える含有製剤,30,True
91-15-6,o-フタロジニトリル,o-Phthalodinitrile,tokka,2,特化則第2類,False,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.01,mg/m³,1%を超える含有製剤,5,True
7440-43-9,カドミウム及びその化合物,Cadmium,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
10108-64-2,カドミウム及びその化合物,Cadmium chloride anhydrate | Dichlorocadmium | Cadmium(II) chloride | Cadmium dichloride,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
7790-78-5,カドミウム及びその化合物,Cadmium chloride 5/2hydrate,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
1306-23-6,カドミウム及びその化合物,"Cadmium sulfide,
Cadmium(II) sulfide,
Cadmium yellow",tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
21041-95-2,カドミウム及びその化合物,Cadmium hydroxide,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
5743-04-4,カドミウム及びその化合物,Cadmium acetate dihydrate,tokka,2,特化則第2類,False,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
10325-94-7,カドミウム及びその化合物,Cadmium nitrate | Cadmium(II) nitrate | Dinitric acid cadmium salt | Bisnitric acid cadmium salt,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
10022-68-1,カドミウム及びその化合物,Cadmium nitrate tetrahydrate,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
1306-19-0,カドミウム及びその化合物,Cadmium oxide | Cadmium(II) oxide,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
7789-42-6,カドミウム及びその化合物,Cadmium Bromide Anhydrate,tokka,2,特化則第2類,False,False,True,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
13464-92-1,カドミウム及びその化合物,Cadmium Bromide Tetrahydrate,tokka,2,特化則第2類,False,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
7790-80-9,カドミウム及びその化合物,Cadmium iodide,tokka,2,特化則第2類,False,False,False,True,特定化学物質健康診断,6ヶ月以内ごとに1回,○,0.05,mg/m³,1%を超える含有製剤,5,True
